player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Shake Milton,miltosh01,2020,1273,611,0.725860437,-2.253802613,-1.527942176,2.393369792,-3.347911699,-0.954541907,1.118146995,-2.649430853,-1.531283858,0.379668415,0.379668415,0,1.015664578,-2.353902954,-1.338238376,-0.065666444
Donovan Mitchell,mitchdo01,2020,4525,2165,2.820090908,-2.018020524,0.802070383,1.005598564,-2.787268925,-1.781670362,2.520655313,-2.317448512,0.203206801,3.25486811,3.25486811,0,2.392881213,-1.961850171,0.431031042,-0.224883271
Naz Mitrou-Long,mitrona01,2020,92,43,0.185361782,3.99493605,4.180297832,-0.786392765,13.99154302,13.20515026,-0.019498611,6.294827626,6.275329014,0.195694318,0.195694318,0,3.567573528,2.898950477,6.466524005,-1.189026706
Adam Mokoka,mokokad01,2020,234,112,0.040019261,-0.941557261,-0.901538,11.02829475,3.682853407,14.71114815,2.387905124,-0.050051704,2.337853421,0.290677364,0.290677364,0,-0.077114048,-0.050400182,-0.127514229,-0.019217761
Malik Monk,monkma01,2020,2409,1169,-0.985594653,-3.034101801,-4.019696454,-3.693160108,-1.796937826,-5.490097934,-1.536463666,-2.932564652,-4.469028318,-1.028617792,-1.028617792,0,-1.382903799,-4.009031495,-5.391935295,0.333028882
Matt Mooney,moonema01,2020,41,19,-1.643524325,11.5265471,9.883022774,-7.860853057,18.23927742,10.37842436,-2.992182573,13.75494915,10.76276658,0.129355506,0.129355506,0,-1.659941271,9.244620873,7.584679602,-1.272459638
E'Twaun Moore,mooreet01,2020,2066,958,-0.335925421,-1.223589635,-1.559515056,1.452360623,-1.44817004,0.004190583,-0.004189605,-1.334562549,-1.338752154,0.685921007,0.685921007,0,0.088982548,-1.175960495,-1.086977947,-0.570175534
Ja Morant,moranja01,2020,3821,1771,0.72232627,-2.000295707,-1.277969436,-0.609471111,2.062629715,1.453158604,0.49176896,-1.275666784,-0.783897825,1.77462692,1.77462692,0,-0.421688827,-1.433863609,-1.855552436,-0.107490039
Juwan Morgan,morgaju01,2020,160,74,-1.841241533,4.089367525,2.248125993,0.426224876,7.940421277,8.366646153,-1.472147685,5.105723631,3.633575946,0.240068352,0.240068352,0,-2.92474784,1.986553784,-0.938194057,-0.398683537
Markieff Morris,morrima02,2020,2329,1106,-1.271627003,-2.550835759,-3.822462761,-1.479727008,-0.207835229,-1.687562236,-1.378454819,-2.199859768,-3.578314587,-0.47228083,-0.47228083,0,-1.170522642,-2.93865044,-4.109173082,0.43865009
